character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
neuro-nogami,cmd:3+4,11,0.011034431514203025,0.9995100658493816,1.0105211479847536,0.9999230497931962,1.0005132835294495
kakashi-hatake,cmd:2+4,6,0.011018614108437408,0.9997141640426798,1.0107827636108764,0.9998539901689185,1.000235850497561
yugi-mutou,crouchBlock,8,0.010994305832449203,0.9996861941367808,1.0003950164296307,0.9894007105971815,1.0006455246031973
monkey-d-luffy-2nd-gear,knockdown,4,0.010940811057504995,0.9999773495443484,1.0000125835864733,0.9890818393981466,1.010729784157426
ryotsu-kankichi,knockdown,4,0.01090373721836102,0.9999773502283851,1.0005475808785593,0.9896438436601983,1.0006015988249968
pegasus-seiya,walkForward,8,0.010771854971316497,0.9996823811096223,1.0067767633835882,0.999805617543535,1.0039950915877283
yasutora-sado,idle,4,0.010684231618344975,0.9955751875617477,1.0040300204935617,0.9937405808199073,1.0061997254290693
taikoubou,cmd:1+2,13,0.010608391780370652,0.9996619875937632,1.010214179963631,0.9996057881832604,1.0003161612705271
gohan-super-saiyan,jableft,3,0.010558574053563197,0.9996625687073447,1.0102184787108766,0.99993927032545,1.0003400953426866
kenshin-himura,juggle,2,0.010513571887752038,0.9999773494303381,1.0000226505696619,0.98950907868191,1.0104909213180902
monkey-d-luffy,cmd:1+2,5,0.010366947429741424,0.9999027714172123,1.000010065070682,0.9897302811530463,1.0006296665884982
renji-abarai,cmd:1+4,11,0.010318999062994938,0.9995891984528891,1.0095949457535351,0.9992759466905402,1.0002193629057572
goku-super-saiyan,chargeKi,2,0.010098713942790383,0.989904347915942,1.0100956520840583,0.9999969381412679,1.000003061858732
goku-super-saiyan,kickright,9,0.010056078831441995,0.9994721498715818,1.000550397340988,0.990494318509546,1.000437215204476
kiro,kickleft,5,0.009970635192229071,0.9991578492051147,1.0001977940056486,0.9998339242688398,1.0091284843973438
eve,knockdown,4,0.009873753412806274,0.9997089653471453,1.0000125836498122,0.9904172812400485,1.0094686548917415
sanji-vinsmoke,getupStand,8,0.009831652793655055,0.999793495877669,1.0002783454302024,0.9904466926365474,1.0003150290729357
kinnikuman,jableft,5,0.009831439445380785,0.9998691988694894,1.000395129295544,0.9905636898501632,1.0002663746411338
dio,cmd:1+2,10,0.009822690780290522,0.991319768238576,1.0005741395602303,0.9988575409811334,1.0002112476287874
gotenks-super-saiyan,walkForward,4,0.009815452553512793,0.9999924499241218,1.0000075500758783,0.990384780367033,1.0098079024776345
pegasus-seiya,knockdown,4,0.009813472803565038,0.9999949666540833,1.0000251667295836,0.9910794333838902,1.0097883060739814
kurama,cmd:1+3,11,0.009775955049017293,0.9907709168850719,1.0005371864451178,0.9994531280659108,1.000388848001333
kinnikuman,idle,4,0.009574979173605946,0.9992680999950998,1.0001548359178312,0.9913601369649109,1.0088430791687057
riven,cmd:qcf+3,5,0.009376947471497865,0.9995995844235801,1.0000960699810169,0.991023468104922,1.0001361738551062
taizo-momote,sprint,9,0.009368751373844852,0.999265104808878,1.000354167087789,0.9913661438172772,1.0003144055101958
ryotsu-kankichi,idle,4,0.009352149944167776,0.9992792115955429,1.0051216157621088,0.9994214068485905,1.004230534182059
majin-buu,juggle,2,0.009175612179805781,0.9999924500381273,1.0000075499618726,0.9908319377820669,1.009168062217933
neuro-nogami,knockdown,4,0.008931797328188162,0.9999773504563882,1.0000176163116978,0.9912021255609035,1.0089091477845764
kakashi-hatake,crouchBlock,8,0.008711332772538771,0.9995123280414944,1.001354657406477,0.9998672819360568,1.0073566753660619
momotaro-tsurugi,jump,2,0.00869807657232402,0.9913059036222279,1.008694096377772,0.999996019805448,1.000003980194552
