character,animation,frames,score,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio
eve,sprint,10,1.6368735066274454e-05,0.999993107108639,1.0000000000000002,0.9999905241562947,1.0000000000000002
dragon-shiryu,backflip,8,1.635448110137716e-05,0.999996151640748,1.000011545077756,0.9999951905966548,1.0000048094033454
dragon-shiryu,block,8,1.635448110137716e-05,0.999996151640748,1.000011545077756,0.9999951905966548,1.0000048094033454
dragon-shiryu,jabright,8,1.635448110137716e-05,0.999996151640748,1.000011545077756,0.9999951905966548,1.0000048094033454
dragon-shiryu,jump,8,1.635448110137716e-05,0.999996151640748,1.000011545077756,0.9999951905966548,1.0000048094033454
bobobo-bo-bo-bobo,chargeKi,5,1.6275079795846636e-05,1.0,1.0000066565044032,0.9999903814246074,1.0
nico-robin,sidestepLeft,4,1.626289512057788e-05,0.9999945790349598,1.0000162628951206,1.0,1.0
nico-robin,sidestepRight,4,1.626289512057788e-05,0.9999945790349598,1.0000162628951206,1.0,1.0
killua-zoldyck,backflip,8,1.6238037402693806e-05,0.99998857168979,1.0000114283102102,0.9999951902728079,1.0000048097271925
killua-zoldyck,jabright,8,1.6238037402693806e-05,0.99998857168979,1.0000114283102102,0.9999951902728077,1.0000048097271925
killua-zoldyck,walkForward,8,1.6238037402693806e-05,0.9999885716897898,1.00001142831021,0.9999951902728075,1.000004809727192
killua-zoldyck,cmd:2+4,7,1.623803740247176e-05,0.99998857168979,1.0000114283102102,0.9999951902728077,1.0000048097271923
killua-zoldyck,getupStand,7,1.623803740247176e-05,0.99998857168979,1.0000114283102102,0.9999951902728079,1.0000048097271923
killua-zoldyck,cmd:1+4,9,1.6238037402249716e-05,0.9999885716897898,1.00001142831021,0.9999951902728079,1.000004809727192
heihachi-edajima,cmd:2+4,8,1.619445658418428e-05,0.9999910196310864,1.0000089803689136,0.9999927859123294,1.00000240469589
don-patch-poppa-rocks,walkForward,8,1.607464976371986e-05,0.9999978512783818,1.0000064461648541,0.9999999999999998,1.0000096284849096
pegasus-seiya,getupStand,8,1.602644587839208e-05,0.9999962901819666,1.0000111294541003,0.999995103008222,1.000004896991778
pegasus-seiya,cmd:1+2,6,1.6026363302557023e-05,0.9999888706284755,1.0000037097905081,0.9999951030082223,1.000004896991778
pegasus-seiya,crouchBlock,8,1.6026363302557023e-05,0.9999888706284755,1.0000037097905081,0.999995103008222,1.000004896991778
sakura-haruno,cmd:2+3,10,1.5767942183053663e-05,0.9999914466312556,1.0000085533687444,0.9999927854265613,1.0000024048578127
kenshin-himura,crouchBlock,8,1.568805696627873e-05,0.9999955770804305,1.0000132687587076,0.9999975807017413,1.0000024192982584
gotenks-super-saiyan,backflip,8,1.566370784611415e-05,0.999989150835928,1.0000108491640718,0.9999951854562259,1.0000048145437739
gotenks-super-saiyan,sprint,10,1.566370784611415e-05,0.9999891508359281,1.000010849164072,0.9999951854562263,1.000004814543774
gotenks-super-saiyan,crouchBlock,8,1.5663707845892105e-05,0.999989150835928,1.0,0.9999999999999998,1.0000048145437739
gotenks-super-saiyan,cmd:2+3,4,1.5663707845781083e-05,0.9999891508359281,1.0000000000000002,0.9999999999999998,1.0000048145437739
gotenks-super-saiyan,getupStand,9,1.5663707845781083e-05,0.9999891508359281,1.0000108491640718,0.9999951854562263,1.0000048145437739
nico-robin,cmd:1+2,9,1.5544500547304274e-05,0.9999891581286929,1.000010841871307,0.99999529737076,1.0000047026292402
nico-robin,cmd:1+4,11,1.5544500547304274e-05,0.9999891581286929,1.000010841871307,0.99999529737076,1.0000047026292402
nico-robin,cmd:2+3,13,1.5544500547304274e-05,0.9999891581286929,1.000010841871307,0.9999952973707598,1.0000047026292398
nico-robin,crouchBlock,8,1.5544500547304274e-05,0.9999891581286929,1.000010841871307,0.99999529737076,1.0000047026292402
nico-robin,cmd:2+4,8,1.5544500547193252e-05,0.999989158128693,1.000010841871307,0.9999952973707598,1.00000470262924
nico-robin,cmd:1+2+4,11,1.554450054708223e-05,0.9999891581286929,1.000010841871307,0.99999529737076,1.00000470262924
nico-robin,walkForward,8,1.554450054708223e-05,0.9999891581286929,1.000010841871307,0.9999952973707602,1.00000470262924
nico-robin,cmd:3+4,11,1.5544500546860185e-05,0.9999891581286929,1.000010841871307,0.9999999999999998,1.0000047026292398
yugi-mutou,jableft,7,1.5509831329474366e-05,0.9999999999999999,1.0000103235397353,1.0,1.0000051862915942
yugi-mutou,cmd:1+3,5,1.550983132925232e-05,1.0,1.0000103235397353,1.0,1.000005186291594
yugi-mutou,cmd:3+4,7,1.550983132925232e-05,0.9999999999999999,1.000010323539735,0.9999999999999999,1.0000051862915942
yugi-mutou,idle,4,1.5509804431546037e-05,0.9999999999999999,1.000010323539735,0.9999948137353035,1.0
yugi-mutou,walkForward,8,1.5509724754947385e-05,0.999989676566839,1.0,0.9999999999999999,1.000005186291594
yugi-mutou,getupStand,8,1.5509724754836363e-05,0.9999896765668391,1.0000000000000002,0.9999999999999999,1.000005186291594
yugi-mutou,jump,4,1.5509697857574167e-05,0.9999896765668391,1.0,0.9999948137353033,1.0
yoh-asakura,cmd:3+4,7,1.5486281617960174e-05,0.9999895384905088,1.0,0.9999949752278733,1.0000000000000002
gon-freecss,knockdown,4,1.539399933037089e-05,0.9999964719786907,1.0000105840639277,1.0,1.0000048099354026
vegeta-super-saiyan,cmd:1+3,4,1.5374241928878263e-05,0.9999895028552235,1.0000104971447767,1.0,1.0000048770971521
vegeta-super-saiyan,sprint,10,1.5374241928878263e-05,0.9999895028552235,1.0000104971447767,0.9999951229028484,1.0000048770971521
vegeta-super-saiyan,getupStand,8,1.5374241928656218e-05,0.9999895028552235,1.0000104971447767,0.9999951229028484,1.000004877097152
vegeta-super-saiyan,kickright,6,1.5374241928656218e-05,0.9999895028552235,1.0000104971447767,0.9999951229028482,1.000004877097152
vegeta-super-saiyan,backflip,8,1.5374241928434174e-05,0.9999895028552235,1.0000000000000002,0.9999951229028482,1.000004877097152
vegeta-super-saiyan,crouchBlock,8,1.5374241928434174e-05,0.9999999999999999,1.0000104971447765,0.9999951229028484,1.000004877097152
vegeta-super-saiyan,idle,6,1.537424192832315e-05,1.0,1.0000104971447767,0.9999951229028484,1.0000000000000002
gintoki-sakata,jabright,11,1.5355242136583236e-05,0.9999895344943067,1.0000104655056932,0.9999999999999998,1.0000048897364433
gintoki-sakata,cmd:1+3,7,1.5355218227153244e-05,0.9999895344943067,1.0000104655056932,0.9999951102874661,1.0000000000000002
gintoki-sakata,cmd:1+2,6,1.5355218227042222e-05,1.0,1.0000104655056932,0.9999951102874661,1.0
