character,animation,frames,silhouette_width_min,silhouette_width_max,height_min,height_max,recorded_center_abs_max
allen-walker,knockdown,4,1.2741,2.36517,0.57669,1.18213,0.126254625
pegasus-seiya,crouchBlock,8,1.16925,2.1677099999999996,1.86261,2.18312,0.14121829249999998
vegito,crouchBlock,8,1.0464600000000002,1.9398600000000001,1.53219,2.2463300000000004,0.19159400000000001
gon-freecss,walkForward,8,1.2376399999999999,2.29091,1.67658,2.20219,0.1637183583
heihachi-edajima,sprint,10,1.10487,2.03995,0.34389000000000003,2.0809800000000003,0.351484911
monkey-d-luffy,getupStand,8,1.02179,1.88536,0.52155,1.97824,0.38953201279999994
taizo-momote,backflip,8,1.33571,2.46275,1.11294,2.29408,0.44266191709999997
taizo-momote,jump,8,1.33571,2.46275,1.11294,2.29408,0.44266191709999997
yusuke-urameshi,crouchBlock,8,1.3282600000000002,2.44791,2.1990700000000003,2.63485,0.25046735999999997
yusuke-urameshi,cmd:1+2+3,7,1.00458,1.85053,1.7729599999999999,2.1591199999999997,0.39673325839999996
heihachi-edajima,block,2,1.10043,2.02644,1.7419300000000002,1.92629,0.23116853520000002
raoh,chargeKi,10,0.58911,1.08278,0.7277699999999999,1.66406,0.11033004359999998
majin-buu,jableft,6,1.09846,2.01835,1.8832600000000002,2.0845900000000004,0.230935359
gohan-super-saiyan-2,cmd:1+2,9,1.18243,2.1718900000000003,1.4702100000000002,2.02704,0.2982367343
gohan-super-saiyan-2,jabright,6,1.18243,2.1718900000000003,1.4702100000000002,2.02704,0.2982367343
vegeta,crouchBlock,8,1.50902,2.77018,2.10384,4.2815900000000005,0.1847601663
frieza,knockdown,4,1.58625,2.91151,0.87059,1.7692899999999998,0.36140524999999996
ichigo-kurosaki,knockdown,4,0.92721,1.70159,0.34752,0.8771199999999999,0.0531896911
toshiro-hitsugaya,cmd:3+4,11,2.00791,3.68356,1.77663,2.59625,0.3477545668
eve,walkForward,8,1.4216600000000001,2.60747,1.8687099999999999,2.72879,0.22576319999999997
ryotsu-kankichi,jabright,5,1.23287,2.25608,1.7404400000000002,2.20905,0.179428182
lenalee-lee,getupStand,8,1.37766,2.5170399999999997,0.66205,1.85511,0.3672220212
gotenks-super-saiyan,cmd:1+2,6,0.88045,1.6082199999999998,1.5176999999999998,2.13023,0.0766141046
gotenks-super-saiyan,jabright,4,0.88045,1.6082199999999998,1.5176999999999998,2.0420599999999998,0.091928304
riven,cmd:1+3,8,0.90679,1.65482,1.03955,1.93074,0.1326468
riven,cmd:FC+3+4,10,0.90679,1.65482,1.03955,1.99909,0.13636560279999999
gohan-super-saiyan,getupStand,8,1.26148,2.30131,0.5272699999999999,2.5764199999999997,0.5423432499999999
taikoubou,cmd:2+4,11,0.9922500000000001,1.8099,1.6603,2.25252,0.3219006762
sanji-vinsmoke,knockdown,4,0.9271400000000001,1.6901000000000002,0.40988,0.97478,0.130060377
monkey-d-luffy-2nd-gear,walkForward,8,1.3444599999999998,2.45024,1.78329,2.14838,0.121446864
toshiro-hitsugaya,jabright,8,2.1186299999999996,3.84413,2.16791,3.32181,0.397582218
ichigo-kurosaki,cmd:2+3,5,1.5873399999999998,2.8782699999999997,1.53078,3.04763,0.40222200840000005
neuro-nogami,chargeKi,5,0.8002,1.4477600000000002,1.8240499999999997,2.25252,0.058057728600000004
vegeta,jableft,4,1.7013,3.0764199999999997,2.2214300000000002,2.8509599999999997,0.215429136
don-patch-poppa-rocks,getupStand,9,1.76343,3.18472,1.59166,2.71845,0.3504450874
roronoa-zoro,cmd:1+4,7,1.30068,2.3485500000000004,1.68107,2.60394,0.166002969
naruto-uzumaki-nine-tails-kyubi,cmd:2+3,12,1.75118,3.1595700000000004,0.5880799999999999,2.36943,0.43210071800000005
naruto-uzumaki-nine-tails-kyubi,crouchBlock,8,1.75118,3.1595700000000004,0.62066,2.36943,0.43210071800000005
gon-freecss,chargeKi,9,1.0547,1.90181,1.83654,2.38238,0.0668050887
majin-buu,cmd:1+2,10,1.35211,2.43735,0.69933,2.1045,0.6279322764
frieza,cmd:2+3,12,1.02664,1.8500899999999998,0.81843,1.8150999999999997,0.169618374
monkey-d-luffy-2nd-gear,cmd:3+4,9,1.10059,1.9797399999999998,0.44698,2.0308100000000002,0.4426335375
neuro-nogami,crouchBlock,8,1.1509,2.06961,1.94931,2.0688199999999997,0.28232353029999996
heihachi-edajima,cmd:3+4,7,1.07106,1.92374,1.7941799999999999,2.2993,0.3073901376
taikoubou,jableft,5,1.45838,2.6190500000000005,1.85352,2.6620799999999996,0.142663829
taikoubou,jabright,6,1.45838,2.6190500000000005,1.85352,2.6620799999999996,0.142663829
lenalee-lee,jump,5,1.02326,1.83728,1.91174,2.5173599999999996,0.16595824550000002
franky,jableft,7,1.72751,3.10128,1.7353699999999999,2.7672,0.15694819919999997
toshiro-hitsugaya,cmd:1+3,12,2.1253,3.81129,0.9849499999999999,2.1994,0.6931462520000001
renji-abarai,cmd:1+2,15,2.02319,3.62542,1.92443,2.98871,0.5650290369
renji-abarai,jableft,5,2.02319,3.62542,2.16606,2.96424,0.5527869432
riven,cmd:1+4,7,1.0966,1.96333,1.0851199999999999,1.61138,0.28201626700000004
franky,cmd:1+3,9,1.44964,2.58868,1.9240199999999998,2.88791,0.27900959999999997
gintoki-sakata,cmd:1+2,6,1.14349,2.04146,1.32829,2.06626,0.22913886420000001
gotenks,crouchBlock,8,1.27054,2.2634999999999996,1.72682,2.36504,0.1474831116
