character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
dr-mashirito,cmd:3+4,9,0.6385654401490451,1.0271179423484966,0.9881677103502008,1.0855994929849349,0.81746,0.89803,0.34274522889550774
dr-mashirito,crouchBlock,8,0.826582976377285,1.1183158416713699,0.9213385676267775,1.0349001906498267,0.90417,1.01562,0.23843664654685154
dr-mashirito,getupStand,9,0.6399546998867497,1.4347602869007174,0.6248717225101339,1.464249063574324,0.75,1.09804,0.8991252357147543
dr-mashirito,idle,6,0.9824818281650369,1.0126026251111226,0.9713823092869495,1.0201587282116702,0.95221,1.0,0.06302359381402838
dr-mashirito,jableft,6,0.6939397319303248,1.1165616133147982,0.858251587927989,1.0196188972826703,0.87868,1.04386,0.40797457291381617
dr-mashirito,jabright,10,0.6901319656578638,1.1227040016080745,0.9999743514113134,1.333168754889262,0.75,1.0,0.6440895754945436
dr-mashirito,juggle,2,0.9805153463856165,1.0194846536143836,0.609676933730768,1.3903230662692319,0.75,1.11061,0.5823188584378621
dr-mashirito,jump,3,0.7561419472247498,1.0067500460906231,0.9951236947586102,1.2035219178431924,0.75,0.90698,0.42832674950834254
dr-mashirito,knockdown,4,0.9999924500381273,1.4347494545152548,0.8283840028569363,1.520408813988785,0.75,1.07609,0.944303486697938
dr-mashirito,sprint,10,0.6060745837417436,1.2728181276546673,0.5686361487413253,1.6383841803293044,0.75,1.35,1.1747394300842582
dr-mashirito,walkForward,4,0.8314504580274135,1.1872191788087498,0.8314519165698967,1.186169414404095,0.75936,1.08333,0.4604859216893449
dragon-shiryu,backflip,8,0.9415934013470537,2.0578483866939896,0.7894759490402651,1.4183978514492845,0.75,1.35,1.3531068834656783
dragon-shiryu,block,8,0.9415934013470537,2.0578483866939896,0.7894759490402651,1.4183978514492845,0.75,1.35,1.3531068834656783
dragon-shiryu,chargeKi,5,0.7412835825070275,2.4504426387704012,0.5556078012289607,1.0000854929201175,0.75,1.35,1.61465778203328
