id,displayName,key,frame,reason,score,heightRatio,seqMedianH,widthRatio,seqMedianW,scale
goku-super-saiyan,Goku (Super Saiyan),knockdown,30,very-low-scale,0.110,0.440,0.510,1.578,1.578,0.44
goku-super-saiyan,Goku (Super Saiyan),getupStand,30,very-low-scale,0.110,0.440,1.000,1.578,1.000,0.44
kenshiro,Kenshiro,knockdown,38,very-low-scale,0.110,0.440,1.000,1.343,1.343,0.44
kenshiro,Kenshiro,getupStand,38,very-low-scale,0.110,0.440,1.000,1.343,1.000,0.44
kinnikuman,Kinnikuman,knockdown,37,very-low-scale,0.110,0.440,0.490,1.102,1.088,0.44
kinnikuman,Kinnikuman,getupStand,37,very-low-scale,0.110,0.440,0.570,1.102,1.083,0.44
kurama,Kurama,lose,31,very-low-scale,0.110,0.440,0.440,3.147,3.147,0.44
momotaro-tsurugi,Momotaro Tsurugi,knockdown,35,very-low-scale,0.110,0.440,0.440,0.842,0.849,0.44
momotaro-tsurugi,Momotaro Tsurugi,getupStand,35,very-low-scale,0.110,0.440,0.850,0.842,0.850,0.44
piccolo,Piccolo,getupStand,38,very-low-scale,0.110,0.440,0.590,0.821,0.810,0.44
renji-abarai,Renji Abarai,knockdown,34,very-low-scale,0.110,0.440,0.440,0.750,0.750,0.44
renji-abarai,Renji Abarai,getupStand,34,very-low-scale,0.110,0.440,0.840,0.750,0.840,0.44
rukia-kuchiki,Rukia Kuchiki,knockdown,31,very-low-scale,0.110,0.440,0.440,1.380,1.383,0.44
rukia-kuchiki,Rukia Kuchiki,getupStand,31,very-low-scale,0.110,0.440,1.000,1.380,1.000,0.44
toshiro-hitsugaya,Tōshirō Hitsugaya,lose,30,very-low-scale,0.110,0.440,0.440,1.444,1.444,0.44
vegito,Vegito,knockdown,30,very-low-scale,0.110,0.440,0.510,1.742,1.742,0.44
vegito,Vegito,getupStand,30,very-low-scale,0.110,0.440,1.000,1.742,1.000,0.44
renji-abarai,Renji Abarai,knockdown,32,very-low-prone-scale,0.110,0.310,0.440,0.754,0.750,0.31
renji-abarai,Renji Abarai,getupStand,32,very-low-prone-scale,0.110,0.310,0.840,0.754,0.840,0.31
anna-kyoyama,Anna Kyoyama,knockdown,34,very-low-scale,0.100,0.450,0.480,1.154,1.163,0.45
anna-kyoyama,Anna Kyoyama,getupStand,34,very-low-scale,0.100,0.450,1.000,1.154,1.153,0.45
bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,knockdown,33,very-low-scale,0.100,0.450,0.510,1.246,1.247,0.45
bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,getupStand,33,very-low-scale,0.100,0.450,1.000,1.246,1.000,0.45
franky,Franky,knockdown,33,very-low-scale,0.100,0.450,0.550,1.095,1.093,0.45
franky,Franky,getupStand,33,very-low-scale,0.100,0.450,1.000,1.095,1.087,0.45
heihachi-edajima,Heihachi Edajima,knockdown,37,very-low-scale,0.100,0.450,0.480,1.681,1.681,0.45
heihachi-edajima,Heihachi Edajima,getupStand,37,very-low-scale,0.100,0.450,1.000,1.681,1.669,0.45
hiei,Hiei,lose,30,very-low-scale,0.100,0.450,0.450,2.174,2.174,0.45
ichigo-kurosaki,Ichigo Kurosaki,knockdown,34,very-low-scale,0.100,0.450,0.450,0.618,0.619,0.45
ichigo-kurosaki,Ichigo Kurosaki,getupStand,34,very-low-scale,0.100,0.450,0.460,0.618,0.620,0.45
kagura,Kagura,lose,30,very-low-scale,0.100,0.450,0.450,2.091,2.091,0.45
kenshin-himura,Kenshin Himura,knockdown,32,very-low-scale,0.100,0.450,0.430,1.646,1.657,0.45
kenshin-himura,Kenshin Himura,getupStand,32,very-low-scale,0.100,0.450,0.450,1.646,1.646,0.45
rukia-kuchiki,Rukia Kuchiki,knockdown,33,very-low-scale,0.100,0.450,0.440,1.382,1.383,0.45
rukia-kuchiki,Rukia Kuchiki,getupStand,33,very-low-scale,0.100,0.450,1.000,1.382,1.000,0.45
ryotsu-kankichi,Ryotsu Kankichi,knockdown,31,very-low-scale,0.100,0.450,0.750,1.502,1.502,0.45
ryotsu-kankichi,Ryotsu Kankichi,getupStand,31,very-low-scale,0.100,0.450,1.000,1.502,1.000,0.45
yoh-asakura-power-sword,Yoh Asakura (Power Sword),knockdown,32,very-low-scale,0.100,0.450,0.760,0.657,0.760,0.45
yoh-asakura-power-sword,Yoh Asakura (Power Sword),getupStand,32,very-low-scale,0.100,0.450,0.760,0.657,0.760,0.45
hiei,Hiei,knockdown,32,very-low-prone-scale,0.100,0.320,0.400,1.242,1.242,0.32
hiei,Hiei,knockdown,34,very-low-prone-scale,0.100,0.320,0.400,1.242,1.242,0.32
hiei,Hiei,getupStand,32,very-low-prone-scale,0.100,0.320,1.000,1.242,1.240,0.32
hiei,Hiei,getupStand,34,very-low-prone-scale,0.100,0.320,1.000,1.242,1.240,0.32
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),knockdown,35,very-low-prone-scale,0.100,0.320,0.610,0.618,0.610,0.32
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),getupStand,35,very-low-prone-scale,0.100,0.320,0.610,0.618,0.611,0.32
dio,DIO,knockdown,32,very-low-scale,0.090,0.460,0.570,2.325,2.313,0.46
dio,DIO,getupStand,32,very-low-scale,0.090,0.460,1.000,2.325,1.000,0.46
eve,Eve,knockdown,39,very-low-scale,0.090,0.460,0.470,1.312,1.315,0.46
eve,Eve,getupStand,39,very-low-scale,0.090,0.460,1.000,1.312,1.306,0.46
eve,Eve,lose,31,very-low-scale,0.090,0.460,0.460,2.249,2.249,0.46
gintoki-sakata,Gintoki Sakata,knockdown,30,very-low-scale,0.090,0.460,0.460,1.937,1.920,0.46
gintoki-sakata,Gintoki Sakata,getupStand,30,very-low-scale,0.090,0.460,1.000,1.937,1.915,0.46
gotenks,Gotenks,knockdown,33,very-low-scale,0.090,0.460,0.460,0.832,0.834,0.46
gotenks,Gotenks,getupStand,33,very-low-scale,0.090,0.460,0.830,0.832,0.830,0.46
gotenks-super-saiyan,Gotenks (Super Saiyan),knockdown,33,very-low-scale,0.090,0.460,0.460,2.035,2.035,0.46
gotenks-super-saiyan,Gotenks (Super Saiyan),getupStand,33,very-low-scale,0.090,0.460,1.000,2.035,1.000,0.46
ichigo-kurosaki,Ichigo Kurosaki,knockdown,32,very-low-scale,0.090,0.460,0.450,0.613,0.619,0.46
ichigo-kurosaki,Ichigo Kurosaki,getupStand,32,very-low-scale,0.090,0.460,0.460,0.613,0.620,0.46
killua-zoldyck,Killua Zoldyck,knockdown,34,very-low-scale,0.090,0.460,0.460,2.143,2.143,0.46
killua-zoldyck,Killua Zoldyck,getupStand,34,very-low-scale,0.090,0.460,0.500,2.143,2.122,0.46
monkey-d-luffy,Monkey D. Luffy,knockdown,31,very-low-scale,0.090,0.460,0.470,1.305,1.306,0.46
monkey-d-luffy,Monkey D. Luffy,knockdown,33,very-low-scale,0.090,0.460,0.470,1.306,1.306,0.46
monkey-d-luffy,Monkey D. Luffy,getupStand,31,very-low-scale,0.090,0.460,1.000,1.305,1.293,0.46
monkey-d-luffy,Monkey D. Luffy,getupStand,33,very-low-scale,0.090,0.460,1.000,1.306,1.293,0.46
renji-abarai,Renji Abarai,knockdown,33,very-low-scale,0.090,0.460,0.440,0.746,0.750,0.46
renji-abarai,Renji Abarai,getupStand,33,very-low-scale,0.090,0.460,0.840,0.746,0.840,0.46
sanji-vinsmoke,Sanji Vinsmoke,lose,30,very-low-scale,0.090,0.460,0.460,3.776,3.776,0.46
yoh-asakura,Yoh Asakura,knockdown,33,very-low-scale,0.090,0.460,0.460,0.942,0.946,0.46
yoh-asakura,Yoh Asakura,getupStand,33,very-low-scale,0.090,0.460,0.510,0.942,0.946,0.46
kazuki-muto,Kazuki Muto,knockdown,38,very-low-prone-scale,0.090,0.330,0.780,0.669,0.780,0.33
kazuki-muto,Kazuki Muto,getupStand,38,very-low-prone-scale,0.090,0.330,0.780,0.669,0.780,0.33
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),knockdown,34,very-low-prone-scale,0.090,0.330,0.610,0.619,0.610,0.33
naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),getupStand,34,very-low-prone-scale,0.090,0.330,0.610,0.619,0.611,0.33
eve,Eve,knockdown,36,very-low-scale,0.080,0.470,0.470,1.315,1.315,0.47
eve,Eve,getupStand,36,very-low-scale,0.080,0.470,1.000,1.315,1.306,0.47
gintoki-sakata,Gintoki Sakata,knockdown,32,very-low-scale,0.080,0.470,0.460,1.915,1.920,0.47
gintoki-sakata,Gintoki Sakata,getupStand,32,very-low-scale,0.080,0.470,1.000,1.915,1.915,0.47
gohan-super-saiyan,Gohan (Super Saiyan),knockdown,30,very-low-scale,0.080,0.470,1.000,1.062,1.062,0.47
