characterId,displayName,animation,frame,reason,measure,adjacentRatio,medianRatio,scaleSource,scaleWidth,scaleHeight,flags
"train-heartnet","Train Heartnet","cmd:3+4","95","adjacent-1.51","1.0000","1.5122","1.0000","default","1.0800","1.2000",""
"eve","Eve","cmd:1+2","153","adjacent-1.51;default-next-to-frame-scale","1.1694","1.5089","1.5089","default","0.8600","1.0400",""
"eve","Eve","cmd:1+2","154","adjacent-1.51","1.7645","1.5089","1.0000","frame","0.8600","1.0400",""
"pegasus-seiya","Pegasus Seiya","cmd:d+2","129","adjacent-1.51","1.5077","1.5077","1.3188","default","1.0800","1.0800",""
"pegasus-seiya","Pegasus Seiya","cmd:d+2","130","adjacent-1.51","1.0000","1.5077","1.1433","default","1.0800","1.0800",""
"hiei","Hiei","jableft","82","adjacent-1.51","1.0000","1.5065","1.4189","default","0.8800","0.9700",""
"hiei","Hiei","jabright","82","adjacent-1.51","1.0000","1.5065","1.3504","default","0.8800","0.9700",""
"hiei","Hiei","cmd:1+4","82","adjacent-1.51","1.0000","1.5065","1.3504","default","0.8800","0.9700",""
"hiei","Hiei","jabright","83","adjacent-1.51","1.5065","1.5065","1.1156","default","0.8800","0.9700",""
"hiei","Hiei","cmd:1+4","83","adjacent-1.51","1.5065","1.5065","1.1156","default","0.8800","0.9700",""
"hiei","Hiei","jableft","83","adjacent-1.51","1.5065","1.5065","1.0617","default","0.8800","0.9700",""
"anna-kyoyama","Anna Kyoyama","getupStand","37","adjacent-1.50;median-1.50","0.6648","1.5042","1.5042","frame","0.3792","0.5184",""
"anna-kyoyama","Anna Kyoyama","getupStand","53","adjacent-1.50;default-next-to-frame-scale","1.0000","1.5042","1.0000","default","0.7900","1.0800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","kickleft","127","adjacent-1.50","1.5034","1.5034","1.5034","default","0.9100","0.8800",""
"gohan-super-saiyan","Gohan (Super Saiyan)","kickleft","126","adjacent-1.50","1.0000","1.5034","1.0000","default","0.9100","0.8800",""
"toshiro-hitsugaya","Tōshirō Hitsugaya","cmd:1+3","219","adjacent-1.50","1.5032","1.5032","1.5032","frame","0.8600","1.0800",""
"toshiro-hitsugaya","Tōshirō Hitsugaya","cmd:1+3","220","adjacent-1.50;default-next-to-frame-scale","1.0000","1.5032","1.0000","default","0.8600","1.0800",""
"kinnikuman","Kinnikuman","sprint","32","adjacent-1.50","1.0061","1.5023","1.4773","frame","0.4326","0.4956","tiny-height-vs-idle|tiny-frame-vs-animation"
"kinnikuman","Kinnikuman","sprint","33","adjacent-1.50;default-next-to-frame-scale","1.5115","1.5023","1.0169","default","1.0300","1.1800",""
"jotaro-kujo","Jotaro Kujo","sprint","37","adjacent-1.50","1.0000","1.5016","1.4399","default","0.9200","1.2100",""
"jotaro-kujo","Jotaro Kujo","sprint","36","adjacent-1.50;default-next-to-frame-scale","1.5016","1.5016","1.0429","default","0.9200","1.2100",""
"monkey-d-luffy","Monkey D. Luffy","jableft","73","adjacent-1.50;default-next-to-frame-scale","1.1741","1.5015","1.4188","default","0.8500","1.0800",""
"monkey-d-luffy","Monkey D. Luffy","jableft","74","adjacent-1.50","1.7629","1.5015","1.0582","frame","0.8500","1.0800","wide-body-vs-idle"
"kurama","Kurama","juggle","29","adjacent-1.50","1.0000","1.5004","1.5004","default","1.0800","1.0800",""
"kurama","Kurama","juggle","30","adjacent-1.50","1.5004","1.5004","1.0000","default","1.0800","1.0800",""
"gohan-super-saiyan-2","Gohan (Super Saiyan 2)","sprint","37","adjacent-1.50","1.0000","1.4992","1.2999","default","1.0800","1.0800",""
"gohan-super-saiyan-2","Gohan (Super Saiyan 2)","sprint","38","adjacent-1.50;default-next-to-frame-scale","1.4992","1.4992","1.1533","default","1.0800","1.0800",""
"riven","Sasuke","jabright","83","adjacent-1.50;median-1.61;default-next-to-frame-scale","1.0000","1.4983","1.6120","default","1.0800","1.0800",""
"riven","Sasuke","jabright","84","adjacent-1.50","1.4983","1.4983","1.0759","frame","1.0800","1.0800",""
